UTC Time,Local Time,MMSI,IMO,Name,Type,Length,Beam,Draught,SOG,COG,Heading,Latitude,Longitude,Destination,Status,Flag
2020/12/8 23:16,2020/12/9 07:16,200023339,,,Fishing,20,6,,3.6,196.6,196,22.55239,120.2072,,,
2020/12/8 23:18,2020/12/9 07:18,200023339,,,Fishing,20,6,,3.7,235.9,235,22.55094,120.2059,,,
2020/12/8 23:24,2020/12/9 07:24,200023339,,,Fishing,20,6,,4.1,290.6,290,22.55088,120.1983,,,
2020/12/8 23:24,2020/12/9 07:24,200023339,,,Fishing,20,6,,4.1,290.6,290,22.55088,120.1983,,,
2020/12/8 23:35,2020/12/9 07:35,200023339,,,Fishing,20,6,,2.8,341,341,22.5578,120.1919,,,
2020/12/8 23:36,2020/12/9 07:36,200023339,,,Fishing,20,6,,2.9,353.8,353,22.55815,120.1917,,,
2020/12/8 23:38,2020/12/9 07:38,200023339,,,Fishing,20,6,,2.6,343.4,343,22.56013,120.1912,,,
2020/12/8 23:40,2020/12/9 07:40,200023339,,,Fishing,20,6,,0.2,290,290,22.5612,120.1909,,,
2020/12/8 23:42,2020/12/9 07:42,200023339,,,Fishing,20,6,,2.9,339.3,339,22.56233,120.1905,,,
2020/12/8 23:44,2020/12/9 07:44,200023339,,,Fishing,20,6,,3.2,348,348,22.56392,120.1899,,,
2020/12/8 23:46,2020/12/9 07:46,200023339,,,Fishing,20,6,,2.7,337.8,337,22.56587,120.1892,,,
2020/12/8 23:49,2020/12/9 07:49,200023339,,,Fishing,20,6,,2.6,322.4,322,22.56808,120.188,,,
2020/12/8 23:50,2020/12/9 07:50,200023339,,,Fishing,20,6,,2.1,335.3,335,22.56843,120.1877,,,
2020/12/8 23:54,2020/12/9 07:54,200023339,,,Fishing,20,6,,2.8,329.5,329,22.57188,120.1862,,,
2020/12/8 23:57,2020/12/9 07:57,200023339,,,Fishing,20,6,,3.5,336,342,22.57413,120.1851,,,
2020/12/8 23:58,2020/12/9 07:58,200023339,,,Fishing,20,6,,3.1,343.4,339,22.57452,120.1849,,,
2020/12/9 00:02,2020/12/9 08:02,200023339,,,Fishing,20,6,,2.9,10.6,1,22.57814,120.1843,,,
2020/12/9 00:07,2020/12/9 08:07,200023339,,,Fishing,20,6,,3,5,5,22.58178,120.1847,,,
2020/12/9 00:08,2020/12/9 08:08,200023339,,,Fishing,20,6,,2.8,20.2,16,22.58295,120.1851,,,
2020/12/9 00:10,2020/12/9 08:10,200023339,,,Fishing,20,6,,3.5,7.2,7,22.58418,120.1852,,,
2020/12/9 00:12,2020/12/9 08:12,200023339,,,Fishing,20,6,,3,347.2,347,22.5858,120.1852,,,
2020/12/9 00:15,2020/12/9 08:15,200023339,,,Fishing,20,6,,2.4,331.8,339,22.58814,120.1845,,,
2020/12/9 00:17,2020/12/9 08:17,200023339,,,Fishing,20,6,,2.7,2.5,355,22.59011,120.1841,,,
2020/12/9 00:22,2020/12/9 08:22,200023339,,,Fishing,20,6,,2.3,18.2,349,22.59404,120.184,,,
2020/12/9 00:25,2020/12/9 08:25,200023339,,,Fishing,20,6,,2.8,2.3,359,22.59602,120.184,,,
2020/12/9 00:26,2020/12/9 08:26,200023339,,,Fishing,20,6,,2.9,350.5,359,22.59683,120.1839,,,
2020/12/9 00:28,2020/12/9 08:28,200023339,,,Fishing,20,6,,3.2,356.8,24,22.59838,120.1842,,,
2020/12/9 00:30,2020/12/9 08:30,200023339,,,Fishing,20,6,,2.7,17,27,22.59992,120.1846,,,
2020/12/9 00:36,2020/12/9 08:36,200023339,,,Fishing,20,6,,1.3,236,236,22.604,120.1857,,,
2020/12/9 00:46,2020/12/9 08:46,200023339,,,Fishing,20,6,,0.6,265.9,224,22.60212,120.1837,,,
2020/12/9 00:49,2020/12/9 08:49,200023339,,,Fishing,20,6,,1.3,193.3,217,22.60186,120.1833,,,
2020/12/9 00:52,2020/12/9 08:52,200023339,,,Fishing,20,6,,1.9,210.6,173,22.60201,120.1829,,,
2020/12/9 00:56,2020/12/9 08:56,200023339,,,Fishing,20,6,,9,155.4,153,22.59714,120.1859,,,
2020/12/9 01:00,2020/12/9 09:00,200023339,,,Fishing,20,6,,9.1,149.8,153,22.58871,120.1917,,,
2020/12/9 01:03,2020/12/9 09:03,200023339,,,Fishing,20,6,,9.5,164,161,22.58205,120.1954,,,
2020/12/9 01:04,2020/12/9 09:04,200023339,,,Fishing,20,6,,9.9,180.4,176,22.57959,120.1959,,,
2020/12/9 01:06,2020/12/9 09:06,200023339,,,Fishing,20,6,,8.6,170.6,167,22.57328,120.1967,,,
2020/12/9 01:12,2020/12/9 09:12,200023339,,,Fishing,20,6,,8.6,159.1,161,22.55836,120.1998,,,
2020/12/9 01:14,2020/12/9 09:14,200023339,,,Fishing,20,6,,9.6,175.5,180,22.55335,120.2,,,
2020/12/9 01:18,2020/12/9 09:18,200023339,,,Fishing,20,6,,9.5,182.4,182,22.54195,120.1991,,,
2020/12/9 01:21,2020/12/9 09:21,200023339,,,Fishing,20,6,,6.8,201.8,201,22.53711,120.198,,,
2020/12/9 01:22,2020/12/9 09:22,200023339,,,Fishing,20,6,,4.1,348.6,3,22.53828,120.1973,,,
2020/12/9 01:24,2020/12/9 09:24,200023339,,,Fishing,20,6,,5,353.8,353,22.54083,120.197,,,
2020/12/9 01:28,2020/12/9 09:28,200023339,,,Fishing,20,6,,2.9,12.7,12,22.54612,120.1967,,,
2020/12/9 01:30,2020/12/9 09:30,200023339,,,Fishing,20,6,,2.7,18.6,18,22.54796,120.1973,,,
2020/12/9 01:33,2020/12/9 09:33,200023339,,,Fishing,20,6,,3.3,24.1,25,22.54998,120.1976,,,
2020/12/9 01:35,2020/12/9 09:35,200023339,,,Fishing,20,6,,2.6,16.9,24,22.55116,120.1978,,,
2020/12/9 01:36,2020/12/9 09:36,200023339,,,Fishing,20,6,,2.6,4.7,353,22.55233,120.198,,,
2020/12/9 01:38,2020/12/9 09:38,200023339,,,Fishing,20,6,,2.5,10.9,14,22.55387,120.1982,,,
2020/12/9 01:45,2020/12/9 09:45,200023339,,,Fishing,20,6,,3.1,0,0,22.55996,120.199,,,
2020/12/9 01:46,2020/12/9 09:46,200023339,,,Fishing,20,6,,2.6,350.3,357,22.56038,120.199,,,
2020/12/9 01:48,2020/12/9 09:48,200023339,,,Fishing,20,6,,3.4,7.8,358,22.56162,120.1992,,,
2020/12/9 01:50,2020/12/9 09:50,200023339,,,Fishing,20,6,,3.4,353.7,353,22.56367,120.1992,,,
2020/12/9 01:52,2020/12/9 09:52,200023339,,,Fishing,20,6,,2.5,348,0,22.56535,120.199,,,
2020/12/9 01:58,2020/12/9 09:58,200023339,,,Fishing,20,6,,2.5,356.6,350,22.57027,120.1979,,,
2020/12/9 02:02,2020/12/9 10:02,200023339,,,Fishing,20,6,,2.4,11.4,2,22.5736,120.1979,,,
2020/12/9 02:05,2020/12/9 10:05,200023339,,,Fishing,20,6,,2.5,18.2,0,22.5761,120.1981,,,
2020/12/9 02:07,2020/12/9 10:07,200023339,,,Fishing,20,6,,2.8,4,3,22.57771,120.1984,,,
2020/12/9 02:08,2020/12/9 10:08,200023339,,,Fishing,20,6,,3,345.6,359,22.57888,120.1986,,,
2020/12/9 02:10,2020/12/9 10:10,200023339,,,Fishing,20,6,,2.8,2.9,10,22.58006,120.1989,,,
2020/12/9 02:15,2020/12/9 10:15,200023339,,,Fishing,20,6,,3.1,344.4,344,22.58438,120.1976,,,
2020/12/9 02:21,2020/12/9 10:21,200023339,,,Fishing,20,6,,3.8,5.5,9,22.58833,120.1962,,,
2020/12/9 02:30,2020/12/9 10:30,200023339,,,Fishing,20,6,,3,339.2,356,22.59598,120.197,,,
2020/12/9 02:32,2020/12/9 10:32,200023339,,,Fishing,20,6,,3,348,357,22.5979,120.1965,,,
2020/12/9 02:34,2020/12/9 10:34,200023339,,,Fishing,20,6,,2.1,341.4,330,22.59946,120.1959,,,
2020/12/9 02:36,2020/12/9 10:36,200023339,,,Fishing,20,6,,0.8,202.8,202,22.59973,120.1956,,,
2020/12/9 02:41,2020/12/9 10:41,200023339,,,Fishing,20,6,,3.1,341.6,341,22.60083,120.195,,,
2020/12/9 02:44,2020/12/9 10:44,200023339,,,Fishing,20,6,,3.2,348.5,346,22.60317,120.1941,,,
2020/12/9 02:48,2020/12/9 10:48,200023339,,,Fishing,20,6,,3.2,338.6,338,22.60639,120.193,,,
2020/12/9 02:52,2020/12/9 10:52,200023339,,,Fishing,20,6,,3,349.9,340,22.60962,120.192,,,
2020/12/9 02:52,2020/12/9 10:52,200023339,,,Fishing,20,6,,3,349.9,340,22.60962,120.192,,,
2020/12/9 04:13,2020/12/9 12:13,3896004,,003896-4-90%,,0,0,,0,8,511,22.58921,120.2885,,,
2020/12/9 04:13,2020/12/9 12:13,3896004,,003896-4-90%,,0,0,,0,8,511,22.58921,120.2885,,,
2020/12/8 23:14,2020/12/9 07:14,3896004,,003896-4-90%,,0,0,,0,9,511,22.58921,120.2885,,,
2020/12/9 04:09,2020/12/9 12:09,416003044,,HAI YANG NO.9,Tug,0,0,,0,360,511,22.59543,120.2847,,,Taiwan
2020/12/9 04:09,2020/12/9 12:09,416003044,,HAI YANG NO.9,Tug,0,0,,0,360,511,22.59543,120.2847,,,Taiwan
2020/12/8 23:14,2020/12/9 07:14,416003044,,HAI YANG NO.9,Tug,0,0,,0,360,511,22.59543,120.2847,,,Taiwan
